time,open,high,low,close,Entry,Stop,Target,MA fast,MA slow,Exh Top,Exh Bot,EMA 9,EMA 21,EMA 50,EMA 200,VWAP,VWAP +1σ,VWAP -1σ,Volume
1767574800,25467,25487.5,25450,25458.25,,,,25541.9875,25570.32,0,0,25448.07294856852,25499.835675703194,25568.217759210405,25623.769888856325,25368.778261319625,25406.22288642763,25331.33363621162,6792
1767578400,25459.25,25483.25,25452.25,25474,,,,25533.7375,25566.28,0,0,25453.258358854815,25497.486977911994,25564.52294512372,25622.279641206012,25369.909758838152,25408.63267371553,25331.186843960775,3300
1767582000,25474.25,25482.75,25457.5,25464,,,,25525.1125,25562.42,0,0,25455.40668708385,25494.442707192724,25560.580868844358,25620.70471940297,25370.64699624411,25410.144307266342,25331.14968522188,2230
1767585600,25463.75,25491.75,25457.75,25487.5,,,,25517.6125,25559.885,0,0,25461.82534966708,25493.811551993385,25557.71495241909,25619.379299309407,25371.516044110096,25412.024487202234,25331.00760101796,2401
1767589200,25488,25497,25465.5,25495.25,,,,25506.8625,25557.43,0,0,25468.510279733666,25493.94231999399,25555.26534644187,25618.144181903343,25372.528127265923,25414.255522637228,25330.80073189462,2672
1767592800,25494.5,25507.25,25468.75,25506.25,,,,25495.525,25555.03,0,0,25476.05822378693,25495.061199994536,25553.34317599317,25617.030806959032,25373.828112682633,25417.17421246283,25330.482012902437,3265
1767596400,25506.25,25509,25455,25478,,,,25482.8875,25552.275,0,0,25476.446579029543,25493.510181813213,25550.388541640496,25615.64741584501,25375.10162622676,25419.72142686281,25330.48182559071,3683
1767600000,25478,25556.75,25467.75,25512,,,,25472.125,25550.19,0,0,25483.557263223636,25495.19107437565,25548.883108634986,25614.616098274415,25378.419157658034,25427.270459101004,25329.567856215064,7664
1767603600,25511.25,25532.25,25495.75,25512,,,,25462.575,25548.45,0,0,25489.24581057891,25496.719158523316,25547.43671221793,25613.595042570192,25380.190244442154,25431.091418134856,25329.28907074945,4212
1767607200,25512.25,25559,25511.25,25553.75,,,,25455.625,25547.605,0,0,25502.146648463127,25501.903780475743,25547.68429213095,25612.999569509793,25382.12886387896,25435.686275933942,25328.571451823977,3907
1767610800,25554.25,25577,25544,25567.5,,,,25447.35,25546.99,0,0,25515.2173187705,25507.867073159767,25548.46137871405,25612.54683747487,25384.234586874984,25440.90072196577,25327.5684517842,3829
1767614400,25567.5,25588.25,25544.5,25557.25,,,,25456.4625,25546.955,0,0,25523.6238550164,25512.356430145242,25548.806030529187,25611.996620186565,25386.971877007225,25447.343448353953,25326.600305660497,5100
1767618000,25558.25,25592.75,25520.25,25576,,,,25468.1875,25547.085,0,0,25534.09908401312,25518.142209222948,25549.872460704515,25611.638444861324,25392.33146505969,25459.02829735405,25325.634632765334,10479
1767621600,25576,25672.5,25538.5,25599.75,,,,25481.9875,25547.39,0,0,25547.229267210496,25525.561099293587,25551.82844263767,25611.52015187763,25439.913722212834,25545.905545247366,25333.921899178302,100057
1767625200,25593.25,25690.5,25566,25665,,,,25500.4875,25548.5,0,0,25570.783413768397,25538.23736299417,25556.26654292639,25612.052289669893,25467.88896858128,25588.28950324946,25347.4884339131,71996
1767628800,25665.25,25708,25651.25,25658.25,,,,25513.425,25549.085,0,0,25588.276731014717,25549.147602721972,25560.26589418418,25612.511968379644,25672.5,25672.5,25672.5,44841
1767632400,25659,25673.5,25607.5,25626.75,,,,25525.4875,25547.56,0,0,25595.971384811775,25556.202366110883,25562.873114020094,25612.653640336066,25654.89371801843,25673.172539561052,25636.614896475807,41602
1767636000,25627,25632.25,25557,25612.75,,,,25536.4,25547.705,0,0,25599.32710784942,25561.343060100804,25564.82907033303,25612.654599138692,25638.753597399962,25667.898013790586,25609.60918100934,36632
1767639600,25612.75,25618.75,25549.5,25577.5,,,,25542.425,25548.155,0,0,25594.961686279537,25562.81187281891,25565.325969535657,25612.304802132337,25627.3846596338,25661.973923858583,25592.79539540902,30774
1767643200,25577,25613,25565,25586.75,,,,25548.425,25547.79,0,0,25593.31934902363,25564.98806619901,25566.166127593082,25612.050525494204,25618.85608097804,25653.449570561083,25584.262591394996,42871
1767646800,25587,25590.75,25573.25,25578.25,,,,25554.425,25547.725,0,0,25590.305479218903,25566.193696544553,25566.640004942372,25611.714201857445,25617.132392981945,25651.849673040844,25582.415112923045,9320
1767654000,25583,25598.75,25560.75,25565.5,,,,25559,25546.75,0,0,25585.344383375123,25566.13063322232,25566.5952988662,25611.254359052895,25616.357590519296,25651.216858632375,25581.498322406216,3860
